ID_ANUNCIO,TP_ANUNCIO,FACE_SENTIDO,DIM_LARG_M,DIM_COMP_M,EMPRESA_ANUNCIANTE,EMPRESA_IMPLANTA,CADASTRO_DER,CADASTRO_DER_NRO,VALOR,OBS
010170001078,4,0,,,SANASA CAMPINAS,,,,,
010170001089,4,1,,,HERCULES MOTORES,,,,,
010170001091,,0,,,,,,,,
010170001102,4,1,,,GUAÇU EMBALAGENS,,,,,
010170001113,4,0,,,WFA AÇOS,,,,,
010170001124,0,1,,,VENDA DE LOTEAMENTO,,,,,
010170001135,4,0,,,GARCIA TP,,,,,
010170001146,4,0,,,TOP TELHA METALICA,,,,,
010170001157,4,0,,,GRAAL,J. SILVA PAINEIS,,,,
010170001168,0,1,,,ÁREA A VENDA,,,,,
010170001179,,0,,,,,,,,
010170001181,4,1,,,LOGCP ALUGUEL DE GALPÕES,,,,,
010170001192,4,0,,,LOGCP ALUGUEL DE GALPÕES,,,,,
010170001203,4,0,,,CBRE TERRENOS,,,,,
010170001214,4,1,,,LOJA DO MECANICO,AMPLILUME,,,,
010170001225,4,0,,,AMPLILUME,AMPLILUME,,,,
010170001236,4,0,,,GRAAL,APOCALIPSE PAINEIS,,,,
010170001247,4,1,,,SHOW FAZENDINHA,BAURU PAINEIS,,,,
010170001258,4,0,,,SAVEGNAGO,,,,,
010170001269,4,1,,,GRILETTO,,,,,
010170001271,4,0,,,MEXT ZAZHY,,,,,
010170001282,4,1,,,GGD METALS,,,,,
010170001293,,0,,,,,,,,
010170001304,,1,,,,,,,,
010170001315,4,0,,,GRAAL,BAURU PAINEIS,,,,
010170001326,4,0,,,TENDA ATACADO,,,,,
010170001337,4,0,,,NUTRIEN,,,,,
010170001348,4,1,,,GRAAL,,,,,
010170001359,4,0,,,LIGATEX,,,,,
010170001361,4,1,,,NISSAN,MULTI MEIOS,,,,
010170001372,4,1,,,BRASIL CANADA BILINGUAL EDUCATION,,,,,
010170001383,4,1,,,WIZARD BY PEARSON,,,,,
010170001394,0,1,,,ECON,,,,,
010170001405,4,1,,,SOFT WORKS,J.SILVA PAINEIS,,,,
010170001416,4,1,,,LAGO AZUL,BAURU PAINEIS,,,,
010170001427,4,0,,,EMBRACON,,,,,
010170001438,4,1,,,KORETECH,,,,,
010170001449,4,0,,,COMERCIAL GERDAU,,,,,
010170001451,4,1,,,JUNDSONDAS,,,,,
010170001462,4,1,,,UNISA,,,,,
010170001473,4,1,,,JUSTIÇA ESPERANÇA,,,,,
010170001484,4,0,,,JUSTIÇA ESPERANÇA,,,,,
010170001495,4,0,,,HOME ANGELS,J.SILVA PAINEIS,,,,
010170001506,4,1,,,RS TERCEIRIZAÇÃO,,,,,
010170001517,4,1,,,GATTI VEICULOS,,,,,
010170001528,4,1,,,SOPEMA PRODUCTS,,,,,
010170001539,4,0,,,ONNO,,,,,
010170001541,4,1,,,PPA SEGURANÇA,,,,,
010170001552,4,0,,,RESOLV,VEX PAINEIS,,,,
010170001563,0,1,,,TERRAS DA ALVORADA,,,,,
010170001574,4,0,,,GAREN,MIDIA PAINEIS,,,,
010170001585,4,0,,,DEMOCRATA CALÇADOS,,,,,
010170001596,4,1,,,DOM BOSCO,,,,,
010170001607,4,1,,,FRANGO ASSADO,,,,,
010170001618,4,1,,,MANIA DE CHURRASCO,BAURU PAINEIS,,,,
010170001629,,0,,,,,,,,
010170001631,0,1,,,TAMBORE JUNDIAI,,,,,
010170001642,4,1,,,MAHLE,,,,,
010170001653,0,1,,,SANTA ANGELA CONSTRUTORA,,,,,
010170001664,0,0,,,IBI ARAM,,,,,
010170001675,4,0,,,LAGO AZUL,,,,,
010170001686,4,0,,,TS SHARA,,,,,
010170001697,0,1,,,CAPITAL VILLE,,,,,
010170001708,4,1,,,EQ MAX,,,,,
010170001719,4,0,,,JEMP,VEX PAINEIS,,,,
010170001721,,0,,,,,,,,
010170001732,,1,,,,,,,,
010170001743,4,1,,,MM ZEREP,,,,,
010170001754,4,0,,,CONDUSCABOS,,,,,
010170001765,4,1,,,FRANGO ASSADO,,,,,
010170001776,4,0,,,AÇUCAR CARAVELAS,J.SILVA PAINEIS,,,,
010170001787,4,1,,,JERONIMO BURGER,,,,,
010170001798,4,0,,,DI GASPI,,,,,
010170001809,4,1,,,OUTTV,,,,,
010170001811,4,1,,,STARBUCKS COFFEE,,,,,
010170001822,4,0,,,JUNDSONDAS,BAURU PAINEIS,,,,
010170001833,4,1,,,JATINOX,,,,,
010170001844,4,1,,,LAGO AZUL,BAURU PAINEIS,,,,
010170001855,4,0,,,OAKBERRY AÇAI BOWLS,VEX PAINEIS,,,,
010170001866,1,0,,,AREA DE DESCANSO DOS CAMINHONEIROS,,,,,
010170001877,,1,,,,,,,,
010170001888,4,1,,,GRAAL,,,,,
010170001899,0,0,,,TERRAS DA ALVORADA,,,,,
010170001901,4,1,,,OUTLET PREMIUM,,,,,
010170001912,4,0,,,RITEC,,,,,
010170001923,4,1,,,LUARI,CHANGE PAINEIS,,,,
010170001934,4,1,,,KFC,BAURU PAINEIS,,,,
010170001945,4,1,,,GRAAL,,,,,
010170001956,4,1,,,GR BANK,,,,,
010170001967,4,0,,,FRANGO ASSADO,J.SILVA PAINEIS,,,,
010170001978,4,1,,,OUTLET PREMIUM,,,,,
010170001989,4,0,,,ANUNCIO DE ALUGUEL DE PAINEL,,,,,
010170001991,4,1,,,CENTERVAL,LUMIX,,,,
010170002002,4,0,,,AMATOOLS,BAURU PAINEIS,,,,
010170002013,0,1,,,ENTREVALES CABREUVA,,,,,
010170002024,4,1,,,M5 ALUGUEL DE GALPÃO,,,,,
010170002035,4,0,,,MEGA TINTAS,BAURU PAINEIS,,,,
010170002046,4,0,,,GR BANK,,,,,
010170002057,1,1,,,NOSSO LAR CONSTRUTORA,,,,,
010170002068,4,1,,,CENTERVAL,CHANGE PAINEIS,,,,
010170002079,4,1,,,MEGA TINTAS,BAURU PAINEIS,,,,
010170002081,4,1,,,EMBRACON,,,,,
010170002092,4,0,,,BRASILUX TINTAS,AMPLILUME PAINEIS,,,,
010170002103,4,1,,,FRANGO ASSADO,AMPLILUME PAINEIS,,,,
010170002114,0,0,,,TERRAS DA ALVORADA,AMPLILUME PAINEIS,,,,
010170002125,4,1,,,LOJA DO MECANICO,AMPLILUME PAINEIS,,,,
010170002136,4,0,,,RS TERCEIRIZAÇÃO,AMPLILUME PAINEIS,,,,
010170002147,4,1,,,OUTLET PREMIUM,,,,,
010170002158,1,0,,,CYAN RESORT,,,,,
010170002169,1,1,,,CYAN RESORT,,,,,
010170002171,1,0,,,PREFEITURA DE ITUPEVA,,,,,
010170002182,4,1,,,OUTLET PREMIUM,,,,,
010170002193,4,0,,,COBRECOM,FAMA PAINEIS,,,,
010170002204,4,1,,,GRAAL,,,,,
010170002215,4,0,,,HGLG ITUPEVA,,,,,
010170002226,4,1,,,AMORTECEDOR COFAP,,,,,
010170002237,4,0,,,GRAAL,,,,,
010170002248,4,1,,,GRAAL,,,,,
010170002259,4,1,,,FRANGO ASSADO,VEX PAINEIS,,,,
010170002261,4,0,,,FERRO E AÇO,VEX PAINEIS,,,,
010170002272,4,1,,,SEM PARAR ,VEX PAINEIS,,,,
010170002283,4,0,,,BAP ENERGY,J.SILVA PAINEIS,,,,
010170002294,4,1,,,JERONIMO BURGER,,,,,
010170002305,4,1,,,ANUNCIO DE ALUGUEL DE PAINEL,J.SILVA PAINEIS,,,,
010170002316,,1,,,,,,,,
010170002327,4,1,,,WEIKU,,,,,
010170002338,4,0,,,WEIKU,,,,,
010170002349,4,1,,,OUTLET PREMIUM,BAURU PAINEIS,,,,
010170002351,4,1,,,SIDEWALK,,,,,
010170002362,4,0,,,CONDUSCABOS,VEX PAINEIS,,,,
010170002373,4,1,,,HOSTFIBER,,,,,
